,name,Side,entry_date,entry_price,qty,exit_date,exit_price,profit,bars_held,,,50000
0,C_474.0_20240110,SELL,10-01-2024 10:03,0.89,100,10-01-2024 10:14,1.15,-2600,11,,,47400
1,C_486.0_20240125,SELL,25-01-2024 12:32,1.07,100,25-01-2024 13:04,1.42,-3500,32,,,43900
2,C_486.0_20240125,SELL,25-01-2024 13:18,0.86,100,25-01-2024 13:50,1.11,-2500,32,,,41400
3,C_488.0_20240126,BUY,25-01-2024 12:38,0.88,90,25-01-2024 15:16,0.69,-1710,158,,,39690
4,C_487.0_20240126,SELL,26-01-2024 12:51,0.67,100,26-01-2024 14:42,0.95,-2800,111,,,36890
5,C_489.0_20240129,BUY,26-01-2024 13:21,0.64,90,26-01-2024 15:19,0.76,1080,118,,,37970
6,C_490.0_20240130,SELL,30-01-2024 12:34,1.11,100,30-01-2024 13:29,1.38,-2700,55,,,35270
7,C_492.0_20240131,BUY,30-01-2024 13:08,1.2,90,30-01-2024 13:31,1.46,2340,23,,,37610
8,C_484.0_20240201,SELL,01-02-2024 10:01,1.65,100,01-02-2024 10:05,2.02,-3700,4,,,33910
9,C_486.0_20240202,BUY,01-02-2024 11:05,1.39,90,01-02-2024 11:34,1.67,2520,29,,,36430
10,C_485.0_20240201,SELL,01-02-2024 10:55,1.08,100,01-02-2024 11:41,1.37,-2900,46,,,33530
11,C_487.0_20240202,BUY,01-02-2024 11:37,1.23,90,01-02-2024 12:01,1.5,2430,24,,,35960
12,C_493.0_20240206,SELL,06-02-2024 10:01,0.87,100,06-02-2024 14:10,0.32,5500,249,,,41460
13,C_495.0_20240207,BUY,06-02-2024 10:34,0.66,90,06-02-2024 15:16,0.54,-1080,282,,,40380
14,C_496.0_20240214,SELL,14-02-2024 10:55,1.18,100,14-02-2024 11:02,0.65,5300,7,,,45680
15,C_497.0_20240215,BUY,14-02-2024 12:15,1.09,90,14-02-2024 12:35,1.36,2430,20,,,48110
16,C_496.0_20240214,SELL,14-02-2024 11:14,0.89,100,14-02-2024 13:38,1.17,-2800,144,,,45310
17,C_498.0_20240215,BUY,14-02-2024 11:14,0.88,90,14-02-2024 13:39,1.15,2430,145,,,47740
